,feat,classifier,filter,bcc_mean,bcc_std,auc_mean,auc_std
0,FFT-PEAKS,IsolationForest,cross,0.6835,0.022233333333333327,0.8255615797222222,0.004283592500000044
1,FFT-PEAKS,IsolationForest,matthias,0.6905666666666667,0.02396666666666669,0.8390534308333335,0.003621604722222227
2,FFT-PEAKS,IsolationForest,mean,0.8012,0.034733333333333394,0.8621848174999999,0.0015044491666665882
3,FFT-PEAKS,IsolationForest,access,0.808,0.03813333333333341,0.8648142213888889,0.0020978197222222272
4,FFT-PEAKS,IsolationForest,nlmeans,0.6125666666666667,0.018899999999999972,0.8277582016666667,0.003654441111111073
5,FFT-PEAKS,IsolationForest,pmap,0.43429999999999996,0.04123333333333329,0.6828599411111111,0.011687168888888877
6,FFT-PEAKS,IsolationForest,gaussian,0.7892666666666668,0.042733333333333345,0.8625648505555557,0.0011400394444444628
7,FFT-PEAKS,IsolationForest,none,0.6843999999999999,0.023000000000000076,0.8240802988888889,0.0007565099999999325
0,FFT-PEAKS,OneClassSVM,access,0.41650000000000004,0.019699999999999995,0.7203700161111111,0.010767835000000059
1,FFT-PEAKS,OneClassSVM,matthias,0.2586,0.058599999999999985,0.7309135588888889,0.019750354444444396
2,FFT-PEAKS,OneClassSVM,cross,0.22436666666666666,0.0005666666666666736,0.5328691588888889,0.00023972444444442242
3,FFT-PEAKS,OneClassSVM,nlmeans,0.25943333333333335,0.05943333333333334,0.7000515980555556,0.017134894722222183
4,FFT-PEAKS,OneClassSVM,pmap,0.5292333333333333,0.019366666666666643,0.8032255666666667,0.0030818411111110944
5,FFT-PEAKS,OneClassSVM,none,0.22440000000000004,0.0004666666666666569,0.5328666677777778,0.00024045666666666632
6,FFT-PEAKS,OneClassSVM,mean,0.4087666666666666,0.04736666666666664,0.6733131705555555,7.749444444427045e-06
7,FFT-PEAKS,OneClassSVM,gaussian,0.4249,0.027833333333333377,0.677822323888889,0.005480208333333347
0,FFT-PEAKS,PCA,pmap,0.6821666666666666,0.030633333333333346,0.7841345533333333,0.00033227222222231845
1,FFT-PEAKS,PCA,nlmeans,0.7112333333333334,0.013433333333333242,0.7763131227777778,0.001506445000000023
2,FFT-PEAKS,PCA,gaussian,0.7332333333333333,0.045499999999999985,0.8009678461111112,0.0016018872222221536
3,FFT-PEAKS,PCA,mean,0.7273666666666665,0.025566666666666682,0.8038545177777778,0.00019944222222229024
4,FFT-PEAKS,PCA,access,0.7475333333333334,0.041133333333333244,0.811210915,0.001505060555555604
5,FFT-PEAKS,PCA,matthias,0.6832,0.013266666666666593,0.7953602405555555,0.0010857727777777715
6,FFT-PEAKS,PCA,none,0.3015,0.00909999999999997,0.5426824166666667,0.004943584444444427
7,FFT-PEAKS,PCA,cross,0.3768666666666667,0.008866666666666662,0.5634022211111112,0.0057451655555555425
0,FFT-GLCM,IsolationForest,matthias,0.7232999999999999,0.019033333333333347,0.8389267652777778,0.004436076944444478
1,FFT-GLCM,IsolationForest,access,0.7461,0.01423333333333332,0.8424896130555556,0.0016464413888889196
2,FFT-GLCM,IsolationForest,pmap,0.55,0.0008000000000000229,0.795698035,0.00303508833333338
