,feat,classifier,filter,f1_mean,f1_std,bcc_mean,bcc_std,auc_mean,auc_std
0,FFT-PEAKS,RandomForestClassifier,access,0.9876666666666667,0.0002666666666666373,0.9876666666666667,0.0002666666666666373,0.9996768258333333,3.2694444440650727e-07
1,FFT-PEAKS,RandomForestClassifier,gaussian,0.9881,0.0009000000000000119,0.9881,0.0009000000000000674,0.9997101094444445,3.277777776977686e-08
2,FFT-PEAKS,RandomForestClassifier,matthias,0.929,0.0015999999999999903,0.929,0.0015999999999998793,0.9955734261111111,0.00035671055555552833
3,FFT-PEAKS,RandomForestClassifier,mean,0.9884999999999999,0.0006999999999999784,0.9884999999999999,0.0006999999999999784,0.9996670249999999,4.983333333374862e-06
4,FFT-PEAKS,RandomForestClassifier,cross,0.9567333333333333,0.0031999999999999806,0.9567333333333332,0.003199999999999925,0.9982022419444445,0.00013173416666667492
5,FFT-PEAKS,RandomForestClassifier,pmap,0.8979333333333334,0.0,0.8979333333333333,0.0,0.9904600422222223,0.0002617011111111234
6,FFT-PEAKS,RandomForestClassifier,none,0.9490000000000001,0.002799999999999969,0.9490000000000001,0.00280000000000008,0.9976737377777778,0.00022778777777771042
7,FFT-PEAKS,RandomForestClassifier,nlmeans,0.8577666666666667,0.005966666666666676,0.8577666666666667,0.005966666666666787,0.9868771347222223,0.000677784166666584
0,FFT-PEAKS,XGBClassifier,matthias,0.9351333333333334,0.0011333333333333195,0.9351333333333333,0.0011333333333333195,0.9965569691666667,0.00020858194444439704
1,FFT-PEAKS,XGBClassifier,access,0.9908333333333333,9.999999999998899e-05,0.9908333333333332,9.999999999993348e-05,0.9998742180555555,1.3903055555486432e-05
2,FFT-PEAKS,XGBClassifier,mean,0.9916666666666667,0.00040000000000001146,0.9916666666666666,0.00039999999999995595,0.9998811327777778,5.31111111201632e-07
3,FFT-PEAKS,XGBClassifier,nlmeans,0.9362,0.003066666666666662,0.9362,0.003066666666666662,0.9959579341666667,0.0002523858333333129
4,FFT-PEAKS,XGBClassifier,gaussian,0.9910666666666667,0.0,0.9910666666666667,1.1102230246251565e-16,0.9998664822222223,2.8677777778041147e-06
5,FFT-PEAKS,XGBClassifier,none,0.9701666666666666,0.0020999999999999908,0.9701666666666665,0.0020999999999999908,0.9991437469444444,6.229027777776563e-05
6,FFT-PEAKS,XGBClassifier,cross,0.97,0.002333333333333354,0.97,0.002333333333333243,0.9991388600000001,0.00010856777777779048
7,FFT-PEAKS,XGBClassifier,pmap,0.9187,0.0020999999999999908,0.9187000000000001,0.0020999999999999908,0.9938720458333333,0.00015078472222229689
0,FFT-PEAKS,SVC,access,0.9515,0.0019000000000000128,0.9515,0.0018999999999999573,0.9983748,0.00012230000000001962
1,FFT-PEAKS,SVC,mean,0.9488333333333333,0.0022333333333333094,0.9488333333333333,0.0022333333333334204,0.9982915211111111,0.00011864222222213172
2,FFT-PEAKS,SVC,gaussian,0.9511333333333334,0.0022666666666666946,0.9511333333333333,0.00226666666666675,0.9981578833333333,0.00014945999999999016
3,FFT-PEAKS,SVC,matthias,0.8736333333333333,0.0023000000000000242,0.8736333333333333,0.0022999999999999687,0.9902132394444445,0.0001211838888888761
4,FFT-PEAKS,SVC,nlmeans,0.7877333333333334,0.0035333333333333328,0.7877333333333334,0.0035333333333333328,0.9813396288888889,0.000455518888888895
5,FFT-PEAKS,SVC,pmap,0.7187,3.333333333332966e-05,0.7187,3.333333333332966e-05,0.9555045755555556,0.00020378333333331833
6,FFT-PEAKS,SVC,cross,0.25856666666666667,0.0023000000000000242,0.25856666666666667,0.0023000000000000242,0.5988946405555555,0.0032445938888888692
7,FFT-PEAKS,SVC,none,0.258,0.002599999999999991,0.258,0.002599999999999991,0.5983337844444444,0.0032865233333333466
0,FFT-GLCM,RandomForestClassifier,pmap,0.9523999999999999,0.002533333333333332,0.9523999999999999,0.002533333333333332,0.9976533822222223,0.00011842944444440118
1,FFT-GLCM,RandomForestClassifier,nlmeans,0.9167000000000001,0.003433333333333344,0.9167000000000001,0.003433333333333455,0.9917447336111112,0.0006008002777778132
2,FFT-GLCM,RandomForestClassifier,mean,0.9248333333333333,0.0009666666666666712,0.9248333333333334,0.0009666666666666712,0.9941213905555555,2.0551666666701607e-05
3,FFT-GLCM,RandomForestClassifier,access,0.9314333333333333,0.0005666666666667153,0.9314333333333331,0.0005666666666666598,0.9946709219444445,0.0003904224999999317
4,FFT-GLCM,RandomForestClassifier,matthias,0.9420999999999999,0.0004333333333333412,0.9421,0.00043333333333339663,0.9964222069444445,6.328361111107572e-05
5,FFT-GLCM,RandomForestClassifier,gaussian,0.8941333333333333,0.004066666666666663,0.8941333333333333,0.004066666666666774,0.9889947794444445,0.0009000299999999406
6,FFT-GLCM,RandomForestClassifier,cross,0.8827,0.0015666666666666607,0.8827,0.0015666666666666607,0.9876407744444445,0.00012395333333337089
7,FFT-GLCM,RandomForestClassifier,none,0.8525666666666667,0.0019000000000000128,0.8525666666666666,0.0019000000000000128,0.9811467569444445,0.0005086974999999883
0,FFT-GLCM,XGBClassifier,matthias,0.9553333333333334,0.0024000000000000132,0.9553333333333334,0.0023999999999999577,0.9974550719444445,0.00017629249999995267
1,FFT-GLCM,XGBClassifier,nlmeans,0.9194666666666667,0.0037333333333333663,0.9194666666666667,0.0037333333333332552,0.9921701994444443,0.00042061833333334464
2,FFT-GLCM,XGBClassifier,access,0.9441333333333334,0.0009333333333333416,0.9441333333333334,0.0009333333333333416,0.9963426086111111,0.0002541641666666816
3,FFT-GLCM,XGBClassifier,pmap,0.9611666666666667,0.0021666666666667056,0.9611666666666666,0.00216666666666665,0.9983787077777777,7.340611111111839e-05
4,FFT-GLCM,XGBClassifier,none,0.8562333333333333,0.0020333333333333314,0.8562333333333333,0.0020333333333333314,0.9819622044444444,0.0007530833333334597
5,FFT-GLCM,XGBClassifier,gaussian,0.8987666666666667,0.002633333333333321,0.8987666666666667,0.002633333333333432,0.9902254225,0.0004626819444445429
6,FFT-GLCM,XGBClassifier,cross,0.8919333333333334,0.0010000000000000009,0.8919333333333332,0.0010000000000000009,0.9890370213888888,8.97458333333212e-05
7,FFT-GLCM,XGBClassifier,mean,0.9259,0.0008999999999999564,0.9259000000000001,0.0009000000000000119,0.9948007916666667,6.206111111106694e-05
0,FFT-GLCM,SVC,gaussian,0.6925333333333333,0.0002666666666666373,0.6925333333333332,0.0002666666666666928,0.9239847422222223,0.000263559999999996
1,FFT-GLCM,SVC,mean,0.6700999999999999,0.0005000000000000004,0.6700999999999999,0.000500000000000056,0.9194523355555555,0.001167941111111126
2,FFT-GLCM,SVC,matthias,0.6642333333333333,0.0007666666666666933,0.6642333333333333,0.0007666666666666933,0.9301289011111111,7.042666666662312e-05
3,FFT-GLCM,SVC,access,0.6548666666666667,0.0002666666666666928,0.6548666666666667,0.0002666666666666373,0.9106335522222222,0.00019624444444438227
4,FFT-GLCM,SVC,cross,0.5303333333333333,0.0018666666666666831,0.5303333333333333,0.0018666666666666831,0.8482091144444444,0.0007475577777777964
5,FFT-GLCM,SVC,none,0.5039333333333333,0.0005333333333333301,0.5039333333333333,0.0005333333333333301,0.8373933922222222,0.0005493622222222383
6,FFT-GLCM,SVC,nlmeans,0.5574,0.002666666666666706,0.5573999999999999,0.0026666666666666505,0.8694459144444444,9.615555555553268e-05
7,FFT-GLCM,SVC,pmap,0.31576666666666664,0.0026333333333333486,0.3157666666666667,0.002633333333333321,0.6908591505555555,0.0012956383333332933
0,GLCM,RandomForestClassifier,nlmeans,0.9505,0.0010999999999999899,0.9505,0.0010999999999999899,0.9965355161111111,0.00015568722222220055
1,GLCM,RandomForestClassifier,pmap,0.9496333333333333,0.0004333333333332856,0.9496333333333333,0.0004333333333333412,0.9974015491666667,0.00017537694444447194
2,GLCM,RandomForestClassifier,matthias,0.9868333333333333,0.0008333333333333526,0.9868333333333333,0.0008333333333333526,0.9995818283333333,4.639111111115479e-05
3,GLCM,RandomForestClassifier,access,0.9677666666666667,0.0007000000000000339,0.9677666666666667,0.0007000000000000894,0.9986468483333333,1.4517222222176773e-05
4,GLCM,RandomForestClassifier,mean,0.9498333333333333,0.0009666666666666712,0.9498333333333334,0.0009666666666666712,0.9972547041666666,5.3174722222271154e-05
5,GLCM,RandomForestClassifier,gaussian,0.9410000000000001,0.0015999999999999903,0.9410000000000001,0.0015999999999999903,0.9957172472222222,0.00010352888888892631
6,GLCM,RandomForestClassifier,none,0.8612333333333333,0.0017666666666666386,0.8612333333333334,0.0017666666666666941,0.9811258208333334,0.000696793055555589
7,GLCM,RandomForestClassifier,cross,0.8772666666666666,0.002866666666666684,0.8772666666666669,0.0028666666666666285,0.9854110288888889,7.958055555556953e-05
0,GLCM,XGBClassifier,pmap,0.9575,3.333333333332966e-05,0.9575,3.333333333332966e-05,0.9982243897222223,1.982249999993302e-05
1,GLCM,XGBClassifier,cross,0.8813333333333333,0.003333333333333355,0.8813333333333333,0.0033333333333332438,0.9871449511111111,0.0003125266666667015
2,GLCM,XGBClassifier,mean,0.9628333333333334,0.0005666666666666598,0.9628333333333332,0.0005666666666665487,0.9984800227777778,1.2593333333366097e-05
3,GLCM,XGBClassifier,nlmeans,0.9545333333333333,0.0011333333333333195,0.9545333333333333,0.0011333333333333195,0.99750224,7.394722222231476e-05
4,GLCM,XGBClassifier,access,0.9775333333333334,0.00013333333333331865,0.9775333333333334,0.00013333333333331865,0.9993314469444443,3.457583333327241e-05
5,GLCM,XGBClassifier,matthias,0.9909333333333333,0.0008666666666666822,0.9909333333333333,0.0008666666666665712,0.9998804133333333,6.977222222204205e-06
6,GLCM,XGBClassifier,gaussian,0.9531333333333334,0.0002666666666666928,0.9531333333333333,0.0002666666666666373,0.9974284022222222,6.576777777783649e-05
7,GLCM,XGBClassifier,none,0.8612666666666666,0.003599999999999992,0.8612666666666666,0.003599999999999992,0.9824900408333334,0.0006979658333333694
0,GLCM,SVC,nlmeans,0.8004,0.0046000000000000485,0.8004,0.0046000000000000485,0.9709014755555555,0.0010046988888888775
1,GLCM,SVC,pmap,0.7449666666666668,0.0005000000000000004,0.7449666666666666,0.0005000000000000004,0.9441974472222221,0.0005800861111111
2,GLCM,SVC,access,0.6646333333333333,0.0018333333333333535,0.6646333333333334,0.001833333333333298,0.9207133272222222,0.00022444944444444115
3,GLCM,SVC,matthias,0.7394666666666667,0.002599999999999991,0.7394666666666666,0.0026000000000000467,0.942143325,0.0006417572222222612
4,GLCM,SVC,mean,0.6594333333333333,0.002633333333333321,0.6594333333333333,0.002633333333333432,0.91039962,0.0004735311111111473
5,GLCM,SVC,gaussian,0.6360333333333333,9.999999999998899e-05,0.6360333333333333,9.999999999998899e-05,0.9004179011111111,0.0004499888888889192
6,GLCM,SVC,cross,0.3909666666666667,0.0008999999999999841,0.3909666666666667,0.0009000000000000119,0.7297535638888888,0.0016006183333333035
7,GLCM,SVC,none,0.3440333333333333,0.004899999999999988,0.3440333333333334,0.004899999999999988,0.6628992394444445,0.0006661105555555435
0,DINOV1,RandomForestClassifier,pmap,0.9822,0.001333333333333353,0.9822,0.001333333333333242,0.9994715872222222,6.80299999999967e-05
1,DINOV1,RandomForestClassifier,nlmeans,0.9536666666666667,0.0011333333333333195,0.9536666666666667,0.001133333333333375,0.9953820266666668,0.00022621666666666762
2,DINOV1,RandomForestClassifier,mean,0.9866333333333334,3.333333333332966e-05,0.9866333333333333,3.333333333338517e-05,0.9996610236111111,1.0565277777763171e-05
3,DINOV1,RandomForestClassifier,access,0.9891333333333333,0.0010000000000000009,0.9891333333333332,0.0010000000000000564,0.9997335369444444,7.859166666623896e-06
4,DINOV1,RandomForestClassifier,matthias,0.9708333333333333,0.00023333333333330764,0.9708333333333332,0.00023333333333336315,0.9987323927777777,2.445555555508072e-06
5,DINOV1,RandomForestClassifier,gaussian,0.9880333333333333,0.0010333333333333306,0.9880333333333333,0.0010333333333334416,0.9996818286111111,3.45702777778123e-05
6,DINOV1,RandomForestClassifier,none,0.9606666666666667,0.0010000000000000009,0.9606666666666668,0.0009999999999999454,0.9977698483333333,1.1322777777766913e-05
7,DINOV1,RandomForestClassifier,cross,0.9664999999999999,0.00030000000000002247,0.9664999999999999,0.00029999999999996696,0.998412701111111,5.153611111113898e-05
0,DINOV1,XGBClassifier,pmap,0.9917333333333334,0.0014666666666666715,0.9917333333333334,0.0014666666666667272,0.999853306111111,5.0219444444443706e-05
1,DINOV1,XGBClassifier,access,0.9955333333333334,0.0006666666666666488,0.9955333333333333,0.0006666666666667043,0.9999551927777778,4.981666666625806e-06
2,DINOV1,XGBClassifier,nlmeans,0.9674666666666667,0.0,0.9674666666666667,0.0,0.9986189311111111,3.3515555555529986e-05
3,DINOV1,XGBClassifier,matthias,0.983,6.666666666665932e-05,0.983,6.66666666665483e-05,0.9996079591666667,3.143694444451839e-05
4,DINOV1,XGBClassifier,mean,0.9936666666666667,0.00040000000000001146,0.9936666666666666,0.00039999999999995595,0.999943315,6.567222222253477e-06
5,DINOV1,XGBClassifier,gaussian,0.9941333333333333,0.0006666666666666488,0.9941333333333333,0.0006666666666666488,0.9999443066666667,5.093333333316963e-06
6,DINOV1,XGBClassifier,none,0.9777,0.0007666666666666933,0.9776999999999999,0.0007666666666666933,0.9993918422222223,4.705555555761798e-07
7,DINOV1,XGBClassifier,cross,0.9803,0.00163333333333332,0.9803,0.00163333333333332,0.9994937127777778,4.598499999997063e-05
0,DINOV1,SVC,pmap,0.9913333333333333,0.0009333333333333416,0.9913333333333333,0.0009333333333333416,0.9998303061111111,2.9010555555597506e-05
1,DINOV1,SVC,access,0.9981333333333333,0.00013333333333331865,0.9981333333333333,0.00013333333333331865,0.9999804233333334,1.627444444446402e-05
2,DINOV1,SVC,mean,0.9980333333333333,0.0003666666666666263,0.9980333333333333,0.0003666666666665708,0.9999764588888889,7.810000000052497e-06
3,DINOV1,SVC,nlmeans,0.9656,0.0002666666666666373,0.9656,0.0002666666666666928,0.9982131272222222,5.283722222226839e-05
4,DINOV1,SVC,gaussian,0.9978333333333333,0.0005000000000000004,0.9978333333333333,0.0005000000000000004,0.9999786838888889,1.1942777777773639e-05
5,DINOV1,SVC,matthias,0.9529333333333333,0.002066666666666661,0.9529333333333334,0.0020666666666667166,0.9972982933333334,2.0893333333327213e-05
6,DINOV1,SVC,cross,0.9805333333333333,0.001733333333333309,0.9805333333333333,0.001733333333333309,0.999543741111111,1.8721111111064115e-05
7,DINOV1,SVC,none,0.9781,0.0003666666666666818,0.9781,0.0003666666666666263,0.9994145383333333,2.208500000006053e-05
0,DINOV2,RandomForestClassifier,access,0.9659,0.004166666666666652,0.9659,0.004166666666666596,0.9981035855555556,0.00031028555555551174
1,DINOV2,RandomForestClassifier,mean,0.9582999999999999,0.001233333333333364,0.9582999999999999,0.0012333333333333085,0.9973613983333334,1.2465000000017046e-05
2,DINOV2,RandomForestClassifier,cross,0.9191666666666667,0.0005000000000000004,0.9191666666666667,0.0005000000000000004,0.9914568413888889,0.00013564805555554837
3,DINOV2,RandomForestClassifier,pmap,0.9234,0.0023999999999999577,0.9234,0.0023999999999999577,0.993892136111111,0.0004649455555554849
4,DINOV2,RandomForestClassifier,none,0.9080666666666666,0.0005333333333333301,0.9080666666666667,0.0005333333333331636,0.9896354275000001,8.204750000001537e-05
5,DINOV2,RandomForestClassifier,matthias,0.9684666666666667,0.0009333333333333416,0.9684666666666666,0.0009333333333333971,0.9985573605555556,3.759277777781733e-05
6,DINOV2,RandomForestClassifier,gaussian,0.9670666666666667,0.0037333333333333107,0.9670666666666666,0.0037333333333333663,0.9982890877777777,0.00023522166666661848
7,DINOV2,RandomForestClassifier,nlmeans,0.9290333333333334,0.0013666666666666827,0.9290333333333334,0.0013666666666665717,0.9923071013888889,0.0002869591666667115
0,DINOV2,XGBClassifier,matthias,0.9832,0.0010000000000000009,0.9831999999999999,0.0009999999999999454,0.9995434416666666,2.6211111111174024e-05
1,DINOV2,XGBClassifier,nlmeans,0.9563999999999999,0.0004666666666666708,0.9564,0.0004666666666667263,0.997681995,5.0295555555468496e-05
2,DINOV2,XGBClassifier,mean,0.9807333333333332,0.00040000000000001146,0.9807333333333335,0.00039999999999995595,0.9994881194444445,3.58500000008366e-06
3,DINOV2,XGBClassifier,pmap,0.9545666666666666,0.0005000000000000004,0.9545666666666666,0.0005000000000000004,0.9977417544444445,4.928666666670356e-05
4,DINOV2,XGBClassifier,gaussian,0.9851666666666666,0.0010333333333333306,0.9851666666666667,0.0010333333333332195,0.9997124722222221,8.644444444705357e-07
5,DINOV2,XGBClassifier,access,0.9839,0.0010999999999999899,0.9839,0.0011000000000000454,0.9996327977777777,1.732222222217139e-05
6,DINOV2,XGBClassifier,cross,0.9538666666666666,0.0010000000000000009,0.9538666666666666,0.0009999999999999454,0.9974710747222222,0.00015657416666664536
7,DINOV2,XGBClassifier,none,0.9458333333333333,0.0009000000000000119,0.9458333333333332,0.0009000000000000119,0.9968268375,1.7157500000086756e-05
0,DINOV2,SVC,access,0.9943666666666666,0.0011000000000000454,0.9943666666666666,0.0010999999999999899,0.9999654627777778,7.68388888883198e-06
1,DINOV2,SVC,gaussian,0.9944333333333333,0.0008333333333332971,0.9944333333333333,0.0008333333333332416,0.9999697411111111,4.642222222295267e-06
2,DINOV2,SVC,nlmeans,0.9598666666666666,0.0008000000000000229,0.9598666666666665,0.0008000000000000229,0.9976859033333334,2.775111111108508e-05
3,DINOV2,SVC,matthias,0.967,0.0009333333333333416,0.9670000000000001,0.0009333333333333971,0.9984000977777778,0.00014005777777775785
4,DINOV2,SVC,mean,0.9927,3.333333333332966e-05,0.9927000000000001,3.333333333327415e-05,0.9999142811111112,1.4453333333330765e-05
5,DINOV2,SVC,pmap,0.9485666666666666,0.0005000000000000004,0.9485666666666666,0.0005000000000000004,0.9972283666666666,8.886777777783461e-05
6,DINOV2,SVC,none,0.9620666666666666,0.0010666666666666602,0.9620666666666666,0.0010666666666667157,0.9983974427777778,5.6261111111011175e-06
7,DINOV2,SVC,cross,0.9696,0.00040000000000001146,0.9696,0.00040000000000001146,0.998824525,0.00019941277777779653
