feat,classifier,filter,bcc_mean,bcc_std,auc_mean,auc_std
FFT-PEAKS,IsolationForest,mean,0.8553125,0.0146041666666666,0.931388465277778,0.0122448958333333
FFT-PEAKS,IsolationForest,gaussian,0.8561458333333334,0.0163125,0.9342501944444446,0.0161475833333332
FFT-PEAKS,IsolationForest,nlmeans,0.8377916666666667,0.0012499999999999,0.8431053819444444,0.0109773125
FFT-PEAKS,IsolationForest,access,0.8561458333333333,0.0135625,0.9339594722222222,0.0144929166666667
FFT-PEAKS,IsolationForest,cross,0.832625,0.0025416666666666,0.8397503472222223,0.0146850138888888
FFT-PEAKS,IsolationForest,none,0.8309375,0.0041875,0.8433086249999999,0.0161550416666667
FFT-PEAKS,IsolationForest,matthias,0.8502500000000001,0.0006249999999999,0.8589491111111112,0.0134533333333333
FFT-PEAKS,IsolationForest,pmap,0.6818333333333333,0.0034583333333333,0.6689833888888889,0.0148151666666666
FFT-PEAKS,OneClassSVM,nlmeans,0.8475,0.0002499999999999,0.8162473124999998,0.006287923611111
FFT-PEAKS,OneClassSVM,access,0.8405625,0.0529791666666666,0.8719562222222222,0.0630896944444444
FFT-PEAKS,OneClassSVM,gaussian,0.8241875,0.0671041666666666,0.8269343055555556,0.0849220833333333
FFT-PEAKS,OneClassSVM,mean,0.8201875000000001,0.0556041666666666,0.8344441111111112,0.0793116111111111
FFT-PEAKS,OneClassSVM,matthias,0.851,0.0016249999999999,0.8891835347222223,0.0053480763888888
FFT-PEAKS,OneClassSVM,pmap,0.6969166666666666,0.0274583333333333,0.7288870555555556,0.0604025277777777
FFT-PEAKS,OneClassSVM,none,0.5300833333333334,0.0136666666666666,0.5271814166666666,0.0170500277777778
FFT-PEAKS,OneClassSVM,cross,0.5300833333333334,0.0136666666666666,0.5271884861111111,0.0170520694444444
FFT-PEAKS,PCA,gaussian,0.8653333333333333,0.0214166666666666,0.9300747083333334,0.0202247916666667
FFT-PEAKS,PCA,mean,0.8588958333333333,0.0233124999999999,0.9310831805555556,0.0183880416666666
FFT-PEAKS,PCA,access,0.8636666666666667,0.0194999999999999,0.9328376111111112,0.0228850277777777
FFT-PEAKS,PCA,nlmeans,0.8485208333333334,0.0035208333333333,0.8194078541666666,0.0123810763888888
FFT-PEAKS,PCA,matthias,0.8488125,0.0079791666666666,0.8437857430555555,0.0302859513888888
FFT-PEAKS,PCA,pmap,0.7104166666666667,0.029125,0.7367788333333334,0.02899925
FFT-PEAKS,PCA,cross,0.5326666666666666,0.0083749999999999,0.5182727777777778,0.0419682777777777
FFT-PEAKS,PCA,none,0.5170208333333333,0.0078541666666666,0.4844896388888888,0.0424035555555555
FFT-GLCM,IsolationForest,pmap,0.8650625000000001,0.0105624999999999,0.8685613263888888,0.0236736041666666
FFT-GLCM,IsolationForest,access,0.8291458333333334,0.0331875,0.8838943333333333,0.032070611111111
FFT-GLCM,IsolationForest,matthias,0.8452500000000001,0.0145416666666666,0.8904658125,0.0209407152777777
FFT-GLCM,IsolationForest,mean,0.7655625,0.0487708333333333,0.8028091736111111,0.0519469097222222
FFT-GLCM,IsolationForest,nlmeans,0.7550833333333333,0.0446249999999999,0.8419192222222223,0.0494371388888887
FFT-GLCM,IsolationForest,cross,0.6889583333333333,0.0037083333333333,0.7414661527777777,8.819444444474467e-06
FFT-GLCM,IsolationForest,none,0.6700416666666666,0.003875,0.7223595902777777,0.0019950624999999
FFT-GLCM,IsolationForest,gaussian,0.6068541666666667,0.0108125,0.6116074583333333,0.0114150694444444
FFT-GLCM,OneClassSVM,nlmeans,0.634,0.0614583333333332,0.4903929652777777,0.155170048611111
FFT-GLCM,OneClassSVM,matthias,0.7519791666666666,0.0494791666666666,0.7885954236111111,0.0622780208333333
FFT-GLCM,OneClassSVM,pmap,0.7611875,0.0068541666666667,0.7749111527777778,0.0088591527777778
FFT-GLCM,OneClassSVM,access,0.6616458333333334,0.0376874999999999,0.6805044305555555,0.0258189583333333
FFT-GLCM,OneClassSVM,mean,0.5519791666666667,0.0105625,0.47413625,0.0305831388888888
FFT-GLCM,OneClassSVM,gaussian,0.6242291666666666,0.0026458333333332,0.5939798194444444,0.0144394305555556
FFT-GLCM,OneClassSVM,none,0.555875,0.0004999999999999,0.5662558055555555,0.0006499999999999
FFT-GLCM,OneClassSVM,cross,0.5256875000000001,0.0014791666666666,0.5099301111111111,0.0053483888888888
FFT-GLCM,PCA,matthias,0.8596250000000001,0.0105,0.8850342708333333,0.0079309791666667
FFT-GLCM,PCA,nlmeans,0.7786666666666666,0.0443333333333333,0.8426442152777778,0.0360228402777778
FFT-GLCM,PCA,pmap,0.7457291666666668,0.0523541666666666,0.7632080277777777,0.0620899722222221
FFT-GLCM,PCA,access,0.801875,0.0085,0.8408651666666667,0.0148106111111111
FFT-GLCM,PCA,mean,0.6803333333333333,0.0175416666666666,0.7365345277777778,0.0167315555555556
FFT-GLCM,PCA,none,0.6273124999999999,0.0089375,0.6420778055555556,0.0205466111111111
FFT-GLCM,PCA,cross,0.6082291666666666,0.0131458333333333,0.6332205833333333,0.0251887777777777
FFT-GLCM,PCA,gaussian,0.579875,0.0207083333333333,0.5594817083333333,0.0636768194444444
GLCM,IsolationForest,pmap,0.7814166666666666,0.0417916666666666,0.8562570208333333,0.0258837708333333
GLCM,IsolationForest,matthias,0.762625,0.0783333333333333,0.8041603194444444,0.1185337916666666
GLCM,IsolationForest,nlmeans,0.791625,0.0140416666666666,0.7880559305555556,0.0574846666666666
GLCM,IsolationForest,access,0.7044166666666667,0.0234166666666666,0.7460932638888889,0.061713625
GLCM,IsolationForest,cross,0.5705,0.0065,0.5844242777777777,0.0082848055555556
GLCM,IsolationForest,none,0.5533541666666666,0.0044791666666666,0.5597597916666666,0.0057802916666666
GLCM,IsolationForest,mean,0.6086666666666667,0.03125,0.6562405972222222,0.0480677638888888
GLCM,IsolationForest,gaussian,0.6075208333333333,0.0233125,0.6172057569444445,0.0273476319444443
GLCM,OneClassSVM,nlmeans,0.7301041666666667,0.0078958333333333,0.7071167291666667,0.0530698680555556
GLCM,OneClassSVM,matthias,0.7001666666666666,0.0174166666666666,0.6786576319444444,0.0027524236111111
GLCM,OneClassSVM,pmap,0.7205208333333333,0.0109374999999999,0.7252154722222223,0.0485426666666667
GLCM,OneClassSVM,access,0.5917291666666666,0.0301874999999999,0.6041772638888889,0.056946875
GLCM,OneClassSVM,gaussian,0.6059791666666666,0.0278958333333333,0.5996509305555555,0.0173905972222222
GLCM,OneClassSVM,mean,0.593625,0.0377083333333333,0.5909184027777777,0.0381440416666666
GLCM,OneClassSVM,none,0.5126458333333334,0.0089791666666666,0.4878992222222221,0.001925
GLCM,OneClassSVM,cross,0.5118333333333334,0.0096666666666666,0.4836892499999999,0.0019252222222222
GLCM,PCA,nlmeans,0.83375,0.0026249999999999,0.8750939930555556,0.0161497569444444
GLCM,PCA,matthias,0.5077291666666667,0.0061458333333332,0.3879316458333333,0.0944343958333333
GLCM,PCA,pmap,0.6083125,0.0554791666666666,0.5737748472222223,0.0993946805555555
GLCM,PCA,mean,0.5350208333333333,0.0349791666666666,0.4860606527777777,0.0817189583333333
GLCM,PCA,gaussian,0.5350625,0.0129375,0.5062344444444444,0.0454418333333333
GLCM,PCA,access,0.5331458333333334,0.0323125,0.4821325555555555,0.0689587499999999
GLCM,PCA,cross,0.5048541666666666,0.0010625,0.4568197638888889,0.0237282638888889
GLCM,PCA,none,0.5035416666666667,0.0022083333333333,0.475578375,0.0066883749999999
DINOV1,IsolationForest,nlmeans,0.7996458333333333,0.0191458333333333,0.8472500624999999,0.0030318263888889
DINOV1,IsolationForest,matthias,0.7071875,0.0274375,0.7276670902777778,0.0577265208333333
DINOV1,IsolationForest,pmap,0.6862916666666667,0.102625,0.706153875,0.1357250416666666
DINOV1,IsolationForest,cross,0.5179583333333333,0.0179583333333333,0.4519290555555555,0.0785999722222222
DINOV1,IsolationForest,gaussian,0.5497083333333334,0.0304166666666666,0.5212339166666666,0.0690750277777778
DINOV1,IsolationForest,mean,0.5213749999999999,0.0062083333333333,0.5052830694444445,0.017273375
DINOV1,IsolationForest,none,0.5135416666666667,0.0135416666666666,0.4674283472222222,0.0675941249999999
